Intent,Entity,Response
General Guidance,wildfire,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,volcano,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,drowning,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,shelter,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,bleeding,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,evacuation,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,evacuation,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,bleeding,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,volcano,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,fracture,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,earthquake,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,evacuation,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,hurricane,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,fracture,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,food_and_water,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,bleeding,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,cut,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,shock,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,flood,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,food_and_water,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,hurricane,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,drowning,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,tornado,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,volcano,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,sprain,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,heatwave,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,sprain,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
